Unnamed: 0,data_paper_doi,research_paper_doi,data_paper_url,research_paper_url,research_paper_file_url,data_paper_has_file,research_paper_has_file,source,all_author_names_data_paper,all_author_names_research_paper,matching_authors,non_matching_authors,proportion_of_authors_found,data_paper_publication_date,research_paper_publication_date,days_between_publications
32,10.1038/s41597-022-01756-x,https://theses.hal.science/tel-04010766,,,,TRUE,TRUE,jd,"Sicheng Dai, Hélène Bouchet, Màrton Karsai, Jean-Pierre Chevrot, Éric Fleury, Aurélie Nardy",Sicheng Dai,Sicheng Dai,"Hélène Bouchet, Màrton Karsai, Jean-Pierre Chevrot, Éric Fleury, Aurélie Nardy",0.16666666670,2022-12-22,,
33,10.1038/s41597-022-01858-6,10.1016/j.jobe.2023.106212,,,,TRUE,TRUE,jd,"Yeobeom Yoon, Sungkyun Jung, Piljae Im, Anthony C. Gehl","Yanfei Li, Yeobeom Yoon, Yeonjin Bae, Piljae Im","Yeobeom Yoon, Piljae Im","Sungkyun Jung, Anthony C. Gehl",0.5,2022-12-19,2023-03-06,77
34,10.1038/s41597-022-01873-7,10.1029/2022GB007354,,,,TRUE,TRUE,jd,"Zhiyong Liang, Kimberly A. McCabe, Sarah E. Fawcett, Heather Forrer, Fuminori Hashihama, Catherine Jeandel, Dario Marconi, Hélène Planquette, Mak A. Saito, Jill A. Sohm, Rachel K. Thomas, Robert T. Letscher, Angela N. Knapp","Robert T. Letscher, Wei‐Lei Wang, Zhiyong Liang, Angela N. Knapp","Zhiyong Liang, Robert T. Letscher, Angela N. Knapp","Kimberly A. McCabe, Sarah E. Fawcett, Heather Forrer, Fuminori Hashihama, Catherine Jeandel, Dario Marconi, Hélène Planquette, Mak A. Saito, Jill A. Sohm, Rachel K. Thomas",0.23076923076923100,2022-12-16,2022-12-01,15
35,10.1038/s41597-022-01838-w,10.1101/2021.07.02.450824,,,,TRUE,TRUE,jd,"María Lumbierres, Prabhat Raj Dahal, Carmen D. Soria, Moreno Di Marco, Stuart H. M. Butchart, Paul F. Donald, Carlo Rondinini","Prabhat Raj Dahal, María Lumbierres, Stuart H. M. Butchart, Paul F. Donald, Carlo Rondinini","María Lumbierres, Prabhat Raj Dahal, Stuart H. M. Butchart, Paul F. Donald, Carlo Rondinini","Carmen D. Soria, Moreno Di Marco",0.7142857142857140,2022-12-03,2021-07-03,518
36,10.1038/s41597-022-01814-4,10.48550/arXiv.2302.06454,,,,TRUE,TRUE,jd,"Peiyuan Gao, Amity Andersen, Jonathan Sepulveda, Gihan Panapitiya, Aaron Hollas, Emily Saldanha, Vijayakumar Murugesan, Wei Wang","Gihan Panapitiya, Emily Saldanha","Gihan Panapitiya, Emily Saldanha","Peiyuan Gao, Amity Andersen, Jonathan Sepulveda, Aaron Hollas, Vijayakumar Murugesan, Wei Wang",0.25,2022-12-01,,
37,10.1038/s41597-022-01847-9,10.2147/PPA.S362464,,,,TRUE,TRUE,jd,"Tino Prell, Aline Schönenberg, Sarah Mendorf, Hannah M. Mühlhammer, Julian Großkreutz, Ulrike Teschner","Tino Prell, Gabriele Helga Franke, Melanie Jagla-Franke, Aline Schönenberg","Tino Prell, Aline Schönenberg","Sarah Mendorf, Hannah M. Mühlhammer, Julian Großkreutz, Ulrike Teschner",0.3333333333333330,2022-11-30,2022-05-02,212
38,10.1038/s41597-022-01769-6,10.5194/amt-15-4195-2022,,,,TRUE,TRUE,jd,"Hélène Angot, Byron Blomquist, Dean Howard, Stephen D. Archer, Ludovic Bariteau, Ivo Beck, Matthew Boyer, Molly Crotwell, Detlev Helmig, Jacques Hueber, Hans-Werner Jacobi, Tuija Jokinen, Markku Kulmala, Lan X, Tiia Laurila, Monica Madronich, Donald Neff, Tuukka Petäj̈ä, Kevin Posman, Lauriane L. J. Quéléver, Matthew D. Shupe, Isaac Vimont, Julia Schmale","Ivo Beck, Hélène Angot, Andrea Baccarini, Lubna Dada, Lauriane L. J. Quéléver, Tuija Jokinen, Tiia Laurila, Markus Lampimäki, Nicolas Bukowiecki, Matthew Boyer, Xianda Gong, M. Gysel, Tuukka Petäj̈ä, Jian Wang, Julia Schmale","Hélène Angot, Ivo Beck, Matthew Boyer, Tuija Jokinen, Tiia Laurila, Tuukka Petäj̈ä, Lauriane L. J. Quéléver, Julia Schmale","Byron Blomquist, Dean Howard, Stephen D. Archer, Ludovic Bariteau, Molly Crotwell, Detlev Helmig, Jacques Hueber, Hans-Werner Jacobi, Markku Kulmala, Lan X, Monica Madronich, Donald Neff, Kevin Posman, Matthew D. Shupe, Isaac Vimont",0.34782608695652200,2022-11-25,2022-07-20,128
39,10.1038/s41597-022-01772-x,10.3390/rs15082116,,,,TRUE,TRUE,jd,"Qiuxia Xie, Jia Li, Massimo Menenti, Guangcheng Hu","Pei Mi, Chaolei Zheng, Jia Li, Yu Bai",Jia Li,"Qiuxia Xie, Massimo Menenti, Guangcheng Hu",0.25,2022-11-11,2023-04-17,157
40,10.1038/s41597-022-01784-7,10.48550/arXiv.2303.12281,,,,TRUE,TRUE,jd,"Nicholas I-Hsien Kuo, Mark N. Polizzotto, Simon Finfer, Féderico García, Anders Sönnerborg, Maurizio Zazzi, Michael Böhm, Rolf Kaiser, Louisa Jorm, Sebastiano Barbieri","Nicholas I-Hsien Kuo, Louisa Jorm, Sebastiano Barbieri","Nicholas I-Hsien Kuo, Louisa Jorm, Sebastiano Barbieri","Mark N. Polizzotto, Simon Finfer, Féderico García, Anders Sönnerborg, Maurizio Zazzi, Michael Böhm, Rolf Kaiser",0.3,2022-11-11,,
41,10.1038/s41597-022-01744-1,10.1021/acsenergylett.2c01996,,,,TRUE,TRUE,jd,"Steve Kench, Isaac Squires, Amir Dahari, Samuel J. Cooper","Donal P. Finegan, Isaac Squires, Amir Dahari, Steve Kench, Katherine L. Jungjohann, Samuel J. Cooper","Steve Kench, Isaac Squires, Amir Dahari, Samuel J. Cooper",,1.0,2022-10-22,2022-11-09,18
